driver_id,driver_name,vehicle_type,license_plate,join_date,city,status
DRV-00041,"Cut Samiah Yolanda, S.IP",GoRide,D 1344 DZU,2024-04-14,Bandung,Active
DRV-00042,"R. Drajat Nababan, S.Kom",GoRide,L 2163 ICI,2023-09-29,Surabaya,Active
DRV-00043,Estiawan Hariyah,GoRide,BK 1514 PEC,2024-02-04,Medan,Active
DRV-00044,"Drs. Cinthia Hardiansyah, M.Pd",GoRide,AB 8953 AFW,2025-09-26,Yogyakarta,Active
DRV-00045,Caturangga Wasita,GoRide,B 8744 FEN,2025-11-28,Jakarta,Inactive
DRV-00046,Almira Marbun,GoRide,B 2545 YAY,2025-12-23,Jakarta,Active
DRV-00047,"KH. Jaeman Suwarno, S.Farm",GoRide,B 8651 SUY,2023-06-05,Jakarta,Active
DRV-00048,"Nasim Laksita, S.E.I",GoRide,AB 2612 MSN,2024-08-30,Yogyakarta,Active
DRV-00049,Drs. Almira Sihotang,GoCar,B 2790 DDL,2022-07-19,Jakarta,Active
DRV-00050,Dr. Candrakanta Hakim,GoRide,B 7912 GFL,2024-04-29,Jakarta,Active
DRV-00051,Puti Samiah Prakasa,GoRide,B 2235 ZHK,2022-08-04,Jakarta,Inactive
DRV-00052,Ir. Azalea Safitri,GoCar,D 1828 FAQ,2023-05-07,Bandung,Active
DRV-00053,Drs. Iriana Rajata,GoRide,L 2528 NQT,2024-10-12,Surabaya,Active
DRV-00054,Eman Widodo,GoCar,H 8956 IQP,2023-08-21,Semarang,Active
DRV-00055,Iriana Hidayanto,GoCar,D 3697 ADN,2023-07-30,Bandung,Inactive
DRV-00056,Bagya Nasyiah,GoCar,B 8454 NGQ,2024-09-10,Jakarta,Active
DRV-00057,Betania Prasasta,GoCar,B 8973 XSK,2022-11-11,Jakarta,Active
DRV-00058,"Drs. Tiara Sihombing, M.Ak",GoRide,B 9883 ZPH,2024-02-29,Jakarta,Inactive
DRV-00059,"Rendy Puspasari, S.Pd",GoRide,B 8811 QGI,2022-05-02,Jakarta,Active
DRV-00060,Tirtayasa Kurniawan,GoCar,D 9320 VJJ,2023-06-04,Bandung,Active
DRV-00061,Rahmi Pranowo,GoRide,B 4853 TVN,2023-06-17,Jakarta,Active
DRV-00062,"Simon Saptono, M.TI.",GoCar,D 1651 FQD,2025-03-22,Bandung,Active
DRV-00063,"Indra Saefullah, S.Gz",GoRide,L 9565 AVX,2022-09-10,Surabaya,Active
DRV-00064,"Eluh Marpaung, M.M.",GoRide,B 6147 JTB,2022-11-09,Jakarta,Active
DRV-00065,Balidin Hutagalung,GoRide,B 5915 SJI,2024-09-07,Jakarta,Active
DRV-00066,"dr. Restu Puspasari, S.E.I",GoCar,D 1152 BIC,2022-06-14,Bandung,Inactive
DRV-00067,Wulan Gunarto,GoCar,D 2200 WNR,2023-08-11,Bandung,Inactive
DRV-00068,"Baktiono Thamrin, M.Pd",GoRide,D 6718 ANV,2023-05-12,Bandung,Active
DRV-00069,Saka Marpaung,GoCar,H 3584 ZZL,2022-12-16,Semarang,Active
DRV-00070,Aisyah Nugroho,GoRide,D 9666 VVY,2026-01-18,Bandung,Active
DRV-00071,Wani Winarsih,GoCar,B 2697 VZP,2026-04-04,Jakarta,Active
DRV-00072,Pandu Kurniawan,GoRide,DD 2753 YCE,2023-06-08,Makassar,Active
DRV-00073,Rendy Haryanti,GoRide,BK 4450 WTY,2023-03-31,Medan,Active
DRV-00074,Darmana Dongoran,GoRide,BK 5325 QMZ,2026-01-02,Medan,Active
DRV-00075,Zelaya Hidayat,GoRide,D 1832 XRW,2023-09-11,Bandung,Inactive
DRV-00076,dr. Mustika Nasyiah,GoRide,B 1058 VBH,2025-01-10,Jakarta,Active
DRV-00077,Elma Prastuti,GoRide,B 3647 QCG,2026-01-11,Jakarta,Inactive
DRV-00078,Jelita Sihotang,GoRide,BK 1158 BMG,2024-11-01,Medan,Active
DRV-00079,Ratih Nainggolan,GoCar,B 3442 QCT,2022-10-16,Jakarta,Active
DRV-00080,Karma Nasyiah,GoCar,D 3426 RUV,2024-02-26,Bandung,Active
DRV-00081,"Daliman Utama, S.Farm",GoRide,D 1653 EQV,2025-06-07,Bandung,Active
DRV-00082,Salimah Maheswara,GoRide,H 2684 UTG,2024-12-13,Semarang,Active
DRV-00083,"Hasan Simbolon, S.Sos",GoRide,B 3532 SSJ,2023-08-13,Jakarta,Inactive
DRV-00084,Imam Widiastuti,GoRide,H 3900 YRV,2022-11-03,Semarang,Active
DRV-00085,Latif Purnawati,GoRide,H 6442 TZJ,2026-02-20,Semarang,Active
DRV-00086,Gadang Suwarno,GoRide,BK 5065 NBY,2025-11-05,Medan,Active
DRV-00087,Hj. Janet Hastuti,GoCar,B 1634 CCR,2024-10-06,Jakarta,Active
DRV-00088,drg. Putu Narpati,GoRide,AB 8541 QFS,2023-03-17,Yogyakarta,Active
DRV-00089,"Mahesa Safitri, S.Psi",GoCar,B 4652 FWP,2024-06-28,Jakarta,Inactive
DRV-00090,Genta Napitupulu,GoRide,B 2137 JBC,2025-02-28,Jakarta,Active
DRV-00091,Rahmi Hidayanto,GoRide,DK 7548 DAO,2023-05-05,Bali,Active
DRV-00092,Nasim Winarno,GoCar,L 1452 FZP,2024-09-30,Surabaya,Active
DRV-00093,"Malik Ardianto, S.IP",GoCar,B 5349 XBO,2022-12-05,Jakarta,Active
DRV-00094,"H. Karja Hariyah, S.Gz",GoRide,B 6139 JPH,2023-01-18,Jakarta,Active
DRV-00095,Rama Hariyah,GoCar,D 4114 QHJ,2024-03-29,Bandung,Active
DRV-00096,Usyi Handayani,GoCar,B 9821 NUG,2024-10-31,Jakarta,Active
DRV-00097,"Drs. Melinda Manullang, M.Kom.",GoCar,L 4228 CQW,2024-02-11,Surabaya,Active
DRV-00098,"Hj. Ika Nurdiyanti, M.Kom.",GoRide,B 6409 OPR,2023-05-09,Jakarta,Active
DRV-00099,Nasab Suwarno,GoCar,L 5920 PRV,2024-03-03,Surabaya,Active
DRV-00100,R. Cahyo Maryadi,GoCar,D 5844 OYS,2023-08-29,Bandung,Active
DRV-00101,"Gabriella Haryanto, S.Farm",GoRide,L 7211 AVI,2022-12-13,Surabaya,Active
DRV-00102,Almira Putra,GoCar,L 5930 AYX,2024-04-12,Surabaya,Active
DRV-00103,"Ayu Permata, S.Sos",GoCar,D 4443 EAW,2024-10-13,Bandung,Active
DRV-00104,"dr. Simon Andriani, M.Pd",GoRide,D 8618 VVI,2023-07-27,Bandung,Active
DRV-00105,R.A. Nova Prasetya,GoCar,D 3780 RBF,2025-09-13,Bandung,Active
DRV-00106,Jessica Winarsih,GoRide,L 6491 RZZ,2022-06-04,Surabaya,Active
DRV-00107,Saadat Hastuti,GoCar,B 6085 INI,2025-05-18,Jakarta,Active
DRV-00108,Rika Pratiwi,GoRide,B 5011 QBF,2022-05-31,Jakarta,Active
DRV-00109,Diana Hariyah,GoCar,DK 8461 LDQ,2025-01-12,Bali,Active
DRV-00110,Gabriella Hasanah,GoCar,D 7291 UVW,2023-11-29,Bandung,Active
DRV-00111,Indah Andriani,GoRide,D 1090 QFE,2026-01-15,Bandung,Active
DRV-00112,"Puput Habibi, S.I.Kom",GoCar,H 7965 OPE,2022-05-20,Semarang,Inactive
DRV-00113,"Arta Dabukke, S.H.",GoCar,B 8611 MBN,2025-08-15,Jakarta,Active
DRV-00114,Budi Kusmawati,GoRide,B 8478 QHK,2022-12-12,Jakarta,Active
DRV-00115,Tira Rajasa,GoRide,B 6198 XXK,2023-03-24,Jakarta,Active
DRV-00116,Puti Victoria Marpaung,GoCar,DD 9270 TGL,2024-11-16,Makassar,Active
DRV-00117,Ratih Wastuti,GoCar,D 3607 YZT,2022-05-29,Bandung,Active
DRV-00118,Lega Utami,GoRide,BK 5050 PGS,2023-02-22,Medan,Active
DRV-00119,Zizi Rahimah,GoRide,AB 8939 ZHY,2025-08-02,Yogyakarta,Active
DRV-00120,"Dt. Ganjaran Nasyidah, S.Farm",GoRide,L 5681 QXE,2024-09-15,Surabaya,Active
DRV-00121,"Ganep Budiman, S.Farm",GoRide,B 2320 FGB,2024-06-13,Jakarta,Inactive
DRV-00122,"Tri Haryanti, S.E.I",GoRide,B 4505 BLU,2023-11-03,Jakarta,Active
DRV-00123,"Emong Susanti, M.Pd",GoRide,B 7812 XED,2024-07-08,Jakarta,Active
DRV-00124,"Ir. Hasna Sinaga, S.H.",GoCar,B 1320 FRC,2024-02-25,Jakarta,Active
DRV-00125,"drg. Kairav Suryatmi, S.Sos",GoCar,AB 1096 VBF,2023-05-03,Yogyakarta,Active
DRV-00126,Elvina Laksita,GoRide,DD 7865 NWZ,2025-12-01,Makassar,Active
DRV-00127,Indah Riyanti,GoCar,D 4613 SRJ,2023-05-26,Bandung,Active
DRV-00128,Sutan Bakiadi Permadi,GoRide,D 7371 UAF,2022-05-05,Bandung,Active
DRV-00129,"Sutan Muhammad Kusmawati, M.Kom.",GoCar,B 3704 CYB,2024-08-29,Jakarta,Active
DRV-00130,Gawati Waskita,GoCar,AB 9751 SPT,2022-09-11,Yogyakarta,Inactive
DRV-00131,dr. Nabila Puspasari,GoRide,B 1444 HWB,2025-02-14,Jakarta,Active
DRV-00132,Tgk. Garan Hasanah,GoRide,B 3977 RTQ,2025-06-21,Jakarta,Inactive
DRV-00133,Najam Nababan,GoRide,B 6355 UHV,2023-04-13,Jakarta,Active
DRV-00134,"H. Cengkal Nababan, S.Kom",GoCar,B 7906 VER,2024-07-30,Jakarta,Active
DRV-00135,Drs. Rina Suryono,GoRide,B 9837 GMS,2025-05-19,Jakarta,Active
DRV-00136,Elma Sihombing,GoCar,B 2124 ATI,2023-04-08,Jakarta,Active
DRV-00137,Aurora Habibi,GoCar,BK 5051 JSS,2022-11-02,Medan,Active
DRV-00138,"Taswir Lestari, S.IP",GoRide,B 3068 AKS,2022-11-02,Jakarta,Active
DRV-00139,Maida Siregar,GoRide,D 8619 LDQ,2024-04-18,Bandung,Inactive
DRV-00140,Calista Haryanto,GoCar,L 2876 ZFE,2025-12-18,Surabaya,Active
DRV-00141,"Mahfud Habibi, S.E.I",GoRide,BK 1420 JZK,2024-10-02,Medan,Active
DRV-00142,Drajat Lazuardi,GoRide,H 7149 JWA,2023-08-04,Semarang,Inactive
DRV-00143,Ir. Genta Nurdiyanti,GoCar,B 4978 YCC,2024-11-16,Jakarta,Active
DRV-00144,"Ir. Maria Samosir, M.Farm",GoCar,B 2983 NDN,2023-07-25,Jakarta,Inactive
DRV-00145,Warta Pranowo,GoRide,BK 9728 ONQ,2025-06-12,Medan,Active
DRV-00146,Candrakanta Permadi,GoRide,D 6590 LJE,2025-02-08,Bandung,Active
DRV-00147,Hasan Hartati,GoRide,B 8102 SME,2022-12-19,Jakarta,Active
DRV-00148,Daru Suwarno,GoCar,DK 3506 TSS,2023-07-16,Bali,Active
DRV-00149,Belinda Pradipta,GoCar,D 5425 QYY,2025-12-15,Bandung,Inactive
DRV-00150,Hj. Wani Napitupulu,GoCar,L 8616 BHI,2024-12-15,Surabaya,Active
DRV-00151,"Cakrawala Santoso, S.E.I",GoCar,D 5022 EDK,2023-04-04,Bandung,Active
DRV-00152,Rina Purnawati,GoRide,AB 4995 SCH,2025-09-02,Yogyakarta,Inactive
DRV-00153,"Ilsa Waskita, S.T.",GoRide,BK 6511 GIF,2024-04-17,Medan,Active
DRV-00154,Liman Gunarto,GoCar,B 4475 BVU,2024-02-29,Jakarta,Active
DRV-00155,Aisyah Iswahyudi,GoRide,B 5526 ORK,2024-11-12,Jakarta,Active
DRV-00156,Prakosa Wulandari,GoRide,L 4954 RKC,2024-10-18,Surabaya,Active
DRV-00157,"R.M. Jarwadi Maryati, M.M.",GoRide,BK 8800 RLL,2025-07-18,Medan,Active
DRV-00158,"Rahmat Lestari, S.Pt",GoRide,L 2524 EWA,2024-02-26,Surabaya,Active
DRV-00159,Salsabila Jailani,GoRide,B 7046 KVA,2023-09-19,Jakarta,Active
DRV-00160,Irma Wijayanti,GoRide,D 6419 ZWJ,2025-04-01,Bandung,Active
DRV-00161,Clara Sihotang,GoRide,B 4777 QUH,2022-06-16,Jakarta,Active
DRV-00162,Zelaya Mulyani,GoRide,B 9779 AQI,2025-08-02,Jakarta,Active
DRV-00163,Anastasia Nainggolan,GoCar,DD 8933 HXN,2024-04-06,Makassar,Active
DRV-00164,Sari Handayani,GoRide,B 5636 WDN,2025-07-08,Jakarta,Active
DRV-00165,R.M. Wira Suwarno,GoCar,DK 6912 CSF,2023-06-08,Bali,Active
DRV-00166,Lasmono Sudiati,GoRide,B 5494 ZPT,2022-10-25,Jakarta,Active
DRV-00167,Puspa Budiman,GoRide,B 3068 JAF,2022-12-22,Jakarta,Active
DRV-00168,"Puti Malika Lazuardi, S.E.I",GoCar,L 1200 FTS,2023-04-04,Surabaya,Active
DRV-00169,"Humaira Agustina, M.Kom.",GoRide,L 4020 EPD,2024-06-18,Surabaya,Active
DRV-00170,Harjo Nainggolan,GoRide,DK 2869 MGV,2024-08-23,Bali,Inactive
DRV-00171,Saka Hidayat,GoRide,AB 1878 RXY,2026-01-14,Yogyakarta,Active
DRV-00172,Jasmin Mayasari,GoCar,B 2395 RAS,2025-12-07,Jakarta,Inactive
DRV-00173,Zalindra Rahmawati,GoRide,DK 4697 LQF,2025-05-21,Bali,Active
DRV-00174,Ivan Nasyiah,GoRide,BK 5871 EWV,2025-12-24,Medan,Inactive
DRV-00175,"Dr. Harja Hasanah, S.Psi",GoCar,AB 1986 MSP,2024-08-24,Yogyakarta,Active
DRV-00176,Gina Zulkarnain,GoCar,L 4404 CUV,2024-09-24,Surabaya,Inactive
DRV-00177,"Yessi Wibowo, S.Sos",GoRide,L 4929 QYP,2024-04-23,Surabaya,Active
DRV-00178,Ani Mahendra,GoRide,B 8381 GLV,2022-12-12,Jakarta,Active
DRV-00179,Taufan Farida,GoRide,L 5720 GHD,2025-12-31,Surabaya,Active
DRV-00180,"Dinda Wasita, S.E.I",GoCar,BK 4824 EEY,2022-05-13,Medan,Active
DRV-00181,Sarah Widodo,GoCar,H 4241 PFV,2023-06-05,Semarang,Active
DRV-00182,"Sidiq Nasyidah, S.Sos",GoRide,D 5352 UOT,2025-12-04,Bandung,Active
DRV-00183,"drg. Teddy Namaga, S.Gz",GoRide,AB 6039 NEP,2026-01-27,Yogyakarta,Active
DRV-00184,"Viman Suwarno, S.H.",GoCar,L 8195 VFB,2024-12-25,Surabaya,Inactive
DRV-00185,"Ir. Niyaga Januar, M.M.",GoCar,B 5460 KST,2022-09-19,Jakarta,Active
DRV-00186,Arsipatra Simbolon,GoRide,D 1653 YDS,2026-02-21,Bandung,Active
DRV-00187,Mala Maulana,GoCar,H 1423 PHA,2023-10-28,Semarang,Active
DRV-00188,"Prima Najmudin, S.E.",GoCar,B 1339 LFN,2024-09-15,Jakarta,Active
DRV-00189,Raina Zulaika,GoCar,DK 1659 PFL,2026-01-01,Bali,Active
DRV-00190,Jail Uyainah,GoRide,BK 8245 QDQ,2022-11-28,Medan,Active
DRV-00191,Uda Hastuti,GoRide,H 9056 SRI,2025-02-18,Semarang,Active
DRV-00192,Ilyas Situmorang,GoRide,DK 6260 LTO,2022-12-21,Bali,Active
DRV-00193,"Hafshah Hasanah, S.Pd",GoCar,L 9117 MYE,2024-02-08,Surabaya,Active
DRV-00194,Harjaya Pertiwi,GoCar,B 1601 WKS,2022-10-02,Jakarta,Active
DRV-00195,Ayu Wahyuni,GoRide,D 7622 ZRA,2025-04-10,Bandung,Active
DRV-00196,"Hj. Victoria Hardiansyah, M.Ak",GoCar,AB 9889 VFS,2024-09-15,Yogyakarta,Active
DRV-00197,"Sutan Luluh Thamrin, S.H.",GoRide,D 9167 OMN,2025-08-07,Bandung,Active
DRV-00198,"Perkasa Wahyuni, S.E.I",GoCar,L 9998 OGO,2023-05-14,Surabaya,Active
DRV-00199,Galak Farida,GoRide,B 8941 CLX,2025-01-18,Jakarta,Inactive
DRV-00200,Bakijan Sihombing,GoCar,B 4920 UVA,2025-05-31,Jakarta,Active
DRV-00201,Cahyadi Namaga,GoRide,BK 7684 XHG,2023-01-17,Medan,Active
DRV-00202,Yance Marbun,GoCar,B 8560 QEZ,2026-03-09,Jakarta,Inactive
DRV-00203,"Jessica Latupono, M.M.",GoCar,DD 5781 EJW,2023-07-22,Makassar,Active
DRV-00204,"Hj. Tari Wulandari, S.Sos",GoRide,D 8736 ZJX,2023-04-05,Bandung,Active
DRV-00205,"dr. Aditya Saptono, M.Pd",GoRide,B 9327 HDX,2022-09-07,Jakarta,Active
DRV-00206,"Samiah Saptono, M.Farm",GoRide,BK 7798 YOX,2025-02-28,Medan,Active
DRV-00207,"Daruna Halimah, S.Ked",GoCar,B 1042 NJU,2022-10-05,Jakarta,Active
DRV-00208,R.A. Septi Haryanto,GoRide,B 9022 ODS,2026-03-11,Jakarta,Active
DRV-00209,"Hasan Latupono, S.E.I",GoRide,AB 6446 CCT,2023-08-02,Yogyakarta,Active
DRV-00210,Bakti Prakasa,GoRide,L 6272 IIY,2024-05-24,Surabaya,Active
DRV-00211,Salsabila Namaga,GoCar,AB 7274 ALV,2024-03-24,Yogyakarta,Active
DRV-00212,Timbul Agustina,GoCar,B 8749 PGF,2025-05-22,Jakarta,Active
DRV-00213,Indah Firmansyah,GoCar,BK 3492 SXN,2024-12-01,Medan,Active
DRV-00214,Gilda Tarihoran,GoRide,D 6439 GRX,2024-03-08,Bandung,Active
DRV-00215,"Gatot Halim, S.Sos",GoCar,AB 9617 RMH,2024-08-12,Yogyakarta,Active
DRV-00216,"Dr. Cornelia Wijayanti, S.Kom",GoRide,H 3529 POM,2025-11-27,Semarang,Active
DRV-00217,Panji Sitorus,GoCar,B 7512 PIY,2022-05-23,Jakarta,Active
DRV-00218,Bagiya Puspasari,GoCar,L 9742 NLN,2024-09-13,Surabaya,Inactive
DRV-00219,"R.A. Julia Maulana, M.Ak",GoRide,B 8994 ARJ,2025-10-04,Jakarta,Active
DRV-00220,T. Raditya Natsir,GoRide,AB 5708 HQB,2022-11-07,Yogyakarta,Active
DRV-00221,Gatot Prakasa,GoCar,DK 2612 LUB,2022-11-10,Bali,Active
DRV-00222,Anastasia Mahendra,GoCar,BK 3725 VAH,2023-01-15,Medan,Active
DRV-00223,"Bella Kusmawati, M.M.",GoCar,L 1919 XXG,2022-10-13,Surabaya,Active
DRV-00224,Jabal Mardhiyah,GoRide,B 9702 ONC,2024-10-28,Jakarta,Active
DRV-00225,"Ir. Karma Sihombing, M.M.",GoCar,D 3868 PBD,2025-05-23,Bandung,Active
DRV-00226,"drg. Maria Kurniawan, M.Kom.",GoCar,B 4945 TCE,2024-05-03,Jakarta,Active
DRV-00227,Galur Sudiati,GoRide,D 5161 JEI,2026-02-14,Bandung,Active
DRV-00228,Hj. Restu Pudjiastuti,GoCar,D 8622 TUY,2023-06-21,Bandung,Inactive
DRV-00229,T. Jaeman Mayasari,GoCar,H 8237 MBG,2024-11-03,Semarang,Active
DRV-00230,"Calista Yolanda, M.Pd",GoCar,DD 7951 UNB,2025-09-03,Makassar,Active
DRV-00231,Hendri Sirait,GoRide,L 7302 DZA,2024-03-21,Surabaya,Active
DRV-00232,Galar Aryani,GoRide,AB 6881 UQQ,2025-05-27,Yogyakarta,Active
DRV-00233,Mahfud Kusmawati,GoCar,L 7484 EFF,2023-11-22,Surabaya,Active
DRV-00234,Cinta Wahyudin,GoRide,B 1803 ZIJ,2022-09-11,Jakarta,Active
DRV-00235,Drs. Putri Sitompul,GoCar,H 5689 QHA,2022-07-22,Semarang,Active
DRV-00236,"Hj. Umi Anggraini, S.Gz",GoRide,BK 4588 SMT,2023-10-21,Medan,Active
DRV-00237,Koko Mayasari,GoCar,L 3240 NJQ,2023-10-18,Surabaya,Active
DRV-00238,Slamet Kurniawan,GoCar,L 6061 WJX,2024-05-08,Surabaya,Active
DRV-00239,"T. Kemal Prasetyo, S.Farm",GoRide,BK 3153 JXN,2022-10-15,Medan,Active
DRV-00240,"Margana Puspita, S.Ked",GoRide,B 3877 MQS,2024-11-28,Jakarta,Active
DRV-00241,Cemeti Saputra,GoCar,B 6994 SWT,2023-06-09,Jakarta,Inactive
DRV-00242,Kamaria Ardianto,GoCar,D 5210 LJK,2026-03-21,Bandung,Active
DRV-00243,Betania Megantara,GoCar,H 5835 VOB,2025-02-04,Semarang,Inactive
DRV-00244,"Paris Pratama, S.Sos",GoRide,BK 2233 ADV,2022-09-09,Medan,Active
DRV-00245,Ira Simbolon,GoCar,B 7511 XKM,2022-12-20,Jakarta,Inactive
DRV-00246,Chandra Manullang,GoCar,DK 7464 WND,2022-08-29,Bali,Active
DRV-00247,Empluk Handayani,GoRide,B 5295 QBF,2025-03-01,Jakarta,Active
DRV-00248,Lidya Saputra,GoCar,L 2775 NWG,2024-11-18,Surabaya,Inactive
DRV-00249,Mala Kusumo,GoRide,L 6374 SRR,2022-10-13,Surabaya,Active
DRV-00250,Paramita Widiastuti,GoRide,H 8606 TCO,2024-10-27,Semarang,Active
DRV-00251,Cut Agnes Putra,GoRide,H 3290 TNX,2023-12-25,Semarang,Active
DRV-00252,"T. Elvin Simbolon, S.IP",GoRide,B 2902 AFV,2022-11-19,Jakarta,Inactive
DRV-00253,Cager Wibowo,GoCar,B 8432 ITO,2024-02-17,Jakarta,Active
DRV-00254,Ir. Reksa Thamrin,GoCar,B 9850 EZV,2024-06-05,Jakarta,Active
DRV-00255,Anita Haryanti,GoCar,D 7797 EUK,2022-06-24,Bandung,Active
DRV-00256,drg. Titin Uyainah,GoCar,L 5583 ASH,2024-02-15,Surabaya,Active
DRV-00257,Gamani Narpati,GoRide,B 4868 ZND,2024-01-09,Jakarta,Active
DRV-00258,"Karen Irawan, S.Farm",GoRide,AB 9920 GPB,2025-11-02,Yogyakarta,Active
DRV-00259,Paramita Hutapea,GoCar,H 5520 ZTV,2024-10-20,Semarang,Active
DRV-00260,Ganda Narpati,GoRide,B 8450 EGO,2023-09-29,Jakarta,Active
DRV-00261,Dr. Dagel Tampubolon,GoRide,B 1349 WUP,2022-10-14,Jakarta,Active
DRV-00262,Daryani Jailani,GoRide,B 4362 JQM,2025-10-07,Jakarta,Inactive
DRV-00263,R. Vanya Yolanda,GoCar,B 4538 ELX,2023-01-14,Jakarta,Active
DRV-00264,Malika Pratiwi,GoRide,AB 1046 WLC,2024-12-20,Yogyakarta,Active
DRV-00265,Hj. Siska Oktaviani,GoCar,B 9850 UOU,2025-03-13,Jakarta,Inactive
DRV-00266,Betania Halimah,GoRide,B 1422 COT,2022-12-10,Jakarta,Active
DRV-00267,Rika Hakim,GoRide,B 6304 WGE,2025-09-08,Jakarta,Active
DRV-00268,Mila Firgantoro,GoRide,B 7897 DXS,2023-08-15,Jakarta,Active
DRV-00269,"Saka Iswahyudi, M.Ak",GoCar,D 6931 MGY,2022-08-17,Bandung,Active
DRV-00270,Drs. Widya Gunarto,GoRide,D 1710 CZK,2024-04-07,Bandung,Active
DRV-00271,Galur Suartini,GoCar,BK 5941 EGJ,2025-01-26,Medan,Active
DRV-00272,Ciaobella Siregar,GoCar,D 8847 TFG,2022-07-25,Bandung,Active
DRV-00273,Arta Prayoga,GoRide,AB 8267 TCC,2025-01-17,Yogyakarta,Active
DRV-00274,Drs. Capa Utama,GoRide,B 2076 XSY,2024-07-12,Jakarta,Active
DRV-00275,"Tgk. Mustika Rahimah, S.Gz",GoCar,B 6327 YOP,2024-01-15,Jakarta,Active
DRV-00276,Gambira Kuswoyo,GoRide,B 9282 JRY,2023-09-21,Jakarta,Active
DRV-00277,Tari Wahyuni,GoRide,L 4522 MJV,2023-07-05,Surabaya,Active
DRV-00278,Hj. Dinda Tampubolon,GoCar,D 8430 TPS,2022-08-24,Bandung,Active
DRV-00279,Diah Riyanti,GoCar,B 6120 TFT,2025-02-11,Jakarta,Active
