driver_id,driver_name,vehicle_type,license_plate,join_date,city,status
DRV-00073,Cahaya Gunawan,GoCar,B 3870 HH,2020-01-14,Jakarta,Inactive
DRV-00074,Hadi Handoko,GoCar,L 6460 FB,2021-09-12,Surabaya,Active
DRV-00075,Andi Kurniawan,GoRide,AB 6153 EF,2022-07-14,Yogyakarta,Inactive
DRV-00076,Lestari Suwandi,GoCar,BG 9494 FH,2018-07-31,Palembang,Active
DRV-00077,Ulfa Kurniawan,GoCar,H 8941 BA,2020-09-07,Semarang,Active
DRV-00078,Wendi Handoko,GoCar,B 2858 HB,2019-09-23,Jakarta,Active
DRV-00079,Oscar Wahyudi,GoCar,H 8736 DH,2022-04-21,Semarang,Active
DRV-00080,Niko Setiawan,GoRide,D 7798 FE,2021-03-04,Bandung,Active
DRV-00081,Vika Nugroho,GoRide,BG 8935 FF,2022-03-26,Palembang,Active
DRV-00082,Tari Suwandi,GoCar,BK 7730 AF,2022-04-11,Medan,Active
DRV-00083,Joko Halim,GoRide,BG 6439 BH,2023-02-15,Palembang,Active
DRV-00084,Krisna Permata,GoRide,D 5342 FG,2021-09-07,Bandung,Inactive
DRV-00085,Zulfa Kusuma,GoCar,DD 1588 BD,2021-03-23,Makassar,Inactive
DRV-00086,Dewi Handoko,GoRide,AB 2646 HC,2018-04-29,Yogyakarta,Active
DRV-00087,Zahra Putra,GoCar,DD 5000 GC,2018-11-20,Makassar,Active
DRV-00088,Andi Saputro,GoCar,BK 3344 DH,2023-02-26,Medan,Active
DRV-00089,Made Permata,GoRide,H 6661 EG,2023-02-15,Semarang,Active
DRV-00090,Agus Wibowo,GoRide,BG 6881 EE,,Palembang,Active
DRV-00091,Made Putra,GoRide,B 9138 ED,2021-12-14,Jakarta,Active
DRV-00092,Fitri Handoko,GoRide,H 1645 EH,2022-02-03,Semarang,Active
DRV-00093,Gunawan Handoko,GoCar,DD 3165 FE,2020-11-18,Makassar,Inactive
DRV-00094,Lestari Sugiarto,GoRide,DD 2233 CD,2022-06-16,Makassar,Inactive
DRV-00095,Zulfa Wibowo,GoCar,,2023-02-06,Surabaya,Active
DRV-00096,Oki Kusuma,GoCar,AB 4830 HA,2021-09-05,Yogyakarta,Inactive
DRV-00097,Hendra Pratama,GoCar,BG 2911 CA,2021-05-31,Palembang,Inactive
DRV-00098,Pandu Halim,GoRide,BK 7078 GC,2019-02-10,Medan,Active
DRV-00099,Usman Sugiarto,GoRide,H 4559 HH,2022-01-25,Semarang,Active
DRV-00100,Oscar Santoso,GoRide,DD 4109 BH,2020-05-18,Makassar,Active
DRV-00101,Oki Rahayu,GoCar,B 3063 DB,2020-04-28,Jakarta,Active
DRV-00102,Budi Suwandi,GoRide,D 3370 CE,2019-03-27,Bandung,Active
DRV-00103,Bambang Wahyudi,GoCar,B 4898 FA,2018-08-03,Jakarta,Active
DRV-00104,Tari Wahyudi,GoRide,L 6931 BH,2018-06-27,Surabaya,Active
DRV-00105,Hadi Saputro,GoCar,H 1510 AH,2022-10-13,Semarang,Active
DRV-00106,Oscar Wahyudi,GoRide,L 3430 BC,2021-08-24,Surabaya,Active
DRV-00107,Oki Halim,GoCar,H 8048 BB,2020-05-30,Semarang,Active
DRV-00108,Joko Gunawan,GoCar,DD 2557 FG,2020-11-10,Makassar,Active
DRV-00109,Lestari Wijaya,GoRide,L 2527 GB,2022-03-07,Surabaya,Active
DRV-00110,Irfan Nugroho,GoRide,DD 7929 AE,2021-12-11,Makassar,Active
DRV-00111,Cahaya Kurniawan,GoCar,D 2773 FF,2021-02-15,Bandung,Active
DRV-00112,Xena Santoso,GoCar,,2021-06-19,Jakarta,Inactive
DRV-00113,Jaya Nugroho,GoRide,D 7566 BC,2018-05-06,Bandung,Active
DRV-00114,Joko Hidayat,GoCar,AB 3578 FE,2018-12-14,Yogyakarta,Inactive
DRV-00115,Hendra Sugiarto,GoRide,B 7947 HH,2020-06-01,Jakarta,Active
DRV-00116,Ulfa Nugroho,GoRide,AB 8972 EA,2018-08-13,Yogyakarta,Active
DRV-00117,Krisna Saputra,GoCar,D 2965 AH,2019-12-21,Bandung,Active
DRV-00118,Mulia Halim,GoRide,DD 1693 GA,2018-11-15,Makassar,Inactive
DRV-00119,Yogi Kusuma,GoCar,AB 7636 AF,2023-02-28,Yogyakarta,Active
DRV-00120,Kartika Kusuma,GoRide,AB 7560 BG,2021-10-22,Yogyakarta,Active
DRV-00121,Lina Putra,GoRide,L 6724 FC,2019-08-23,Surabaya,Active
DRV-00122,Ratna Rahayu,GoRide,D 9095 HH,2021-08-16,Bandung,Inactive
DRV-00123,Ulfa Saputro,GoCar,D 8245 EE,2021-12-12,Bandung,Active
DRV-00124,Niko Kurniawan,GoRide,BG 5703 BB,2023-09-08,Palembang,Active
DRV-00125,Wahyu Kusuma,GoCar,B 4084 FH,2018-09-11,Jakarta,Active
DRV-00126,Wahyu Putra,GoRide,D 8172 HC,2021-03-04,Bandung,Active
DRV-00127,Niko Suwandi,GoCar,B 2548 GE,2019-09-08,Jakarta,Active
DRV-00128,Wahyu Suwandi,GoCar,DD 7421 CB,2022-03-23,Makassar,Active
DRV-00129,Hadi Nugroho,GoCar,L 1298 FE,2020-05-27,Surabaya,Active
DRV-00130,Joko Hidayat,GoRide,BK 5846 BA,2019-06-21,Medan,Active
DRV-00131,Pandu Handoko,GoRide,D 1715 GF,2020-08-30,Bandung,Inactive
DRV-00132,Tono Permata,GoRide,BG 6070 HD,2022-12-10,Palembang,Active
DRV-00133,Galih Wahyudi,GoRide,AB 3267 EA,2022-03-01,Yogyakarta,Active
DRV-00134,Fitri Saputra,GoCar,L 3626 EH,2019-08-27,Surabaya,Active
DRV-00135,Fitri Sugiarto,GoCar,BG 7797 AG,2020-08-23,Palembang,Active
DRV-00136,Gunawan Suwandi,GoRide,BK 2623 FC,2021-03-21,Medan,Inactive
DRV-00137,Yanti Putra,GoCar,BG 2298 AE,2019-09-05,Palembang,Active
DRV-00138,Pandu Saputro,GoRide,AB 4893 EB,2022-09-16,Yogyakarta,Active
DRV-00139,Pandu Sugiarto,GoRide,L 9189 AD,2021-04-08,Surabaya,Active
DRV-00140,Irfan Kurniawan,GoCar,BK 2402 FB,2023-09-10,Medan,Active
DRV-00141,Eko Sugiarto,GoCar,B 1713 GF,2018-03-08,Jakarta,Active
DRV-00142,Lina Saputro,GoRide,BK 6447 CA,2021-10-18,Medan,Active
DRV-00143,Citra Rahayu,GoRide,BG 2033 HA,2018-06-29,Palembang,Active
DRV-00144,Dewi Rahayu,GoCar,H 9897 HE,2020-02-22,Semarang,Active
DRV-00145,Lina Gunawan,GoRide,H 8159 GH,2022-05-03,Semarang,Active
DRV-00146,Lina Kurniawan,GoCar,BG 9507 EB,2018-11-20,Palembang,Active
DRV-00147,Dian Sugiarto,GoCar,H 6372 EE,2022-10-12,Semarang,Active
DRV-00148,Ratna Permata,GoRide,BG 6776 GE,2018-08-23,Palembang,Active
DRV-00149,Yogi Sugiarto,GoRide,DD 3339 HA,2020-08-24,Makassar,Active
DRV-00150,Jaya Sugiarto,GoRide,AB 8371 FF,2018-11-11,Yogyakarta,Active
DRV-00151,Lestari Pratama,GoCar,AB 5089 BA,2023-08-07,Yogyakarta,Active
DRV-00152,Dian Hidayat,GoCar,H 4515 EH,2019-07-10,Semarang,Inactive
DRV-00153,Kartika Hidayat,GoRide,BG 6236 FB,2021-04-04,Palembang,Inactive
DRV-00154,Mulia Sugiarto,GoRide,DD 4292 CD,2018-04-18,Makassar,Active
DRV-00155,Bambang Setiawan,GoRide,BG 2412 BE,2023-05-15,Palembang,Active
DRV-00156,Lestari Setiawan,GoRide,L 2215 HH,2021-11-12,Surabaya,Active
DRV-00157,Wendi Saputra,GoRide,D 1907 BC,2019-10-26,Bandung,Active
DRV-00158,Fitri Wahyudi,GoCar,DD 5105 DE,2021-05-25,Makassar,Active
DRV-00159,Mulia Halim,GoRide,D 6531 AA,2020-12-20,Bandung,Active
DRV-00160,Eko Wijaya,GoCar,B 9938 EE,2022-07-22,Jakarta,Active
DRV-00161,Vika Sugiarto,GoCar,D 8609 DF,2021-07-04,Bandung,Inactive
DRV-00162,Putri Suwandi,GoRide,AB 9437 BF,2019-05-17,Yogyakarta,Active
DRV-00163,Mulia Rahayu,GoRide,L 7293 GD,2019-10-17,Surabaya,Active
DRV-00164,Agus Wahyudi,GoRide,BK 9433 HH,2023-07-31,Medan,Active
DRV-00165,Andi Pratama,GoRide,BG 6781 AA,2023-04-12,Palembang,Active
DRV-00166,Made Sugiarto,GoRide,AB 6992 GF,2018-07-29,Yogyakarta,Active
DRV-00167,Wahyu Kurniawan,GoRide,H 8378 EB,2019-02-01,Semarang,Active
DRV-00168,Gunawan Wahyudi,GoRide,DD 9341 GA,2019-07-16,Makassar,Active
DRV-00169,Pandu Handoko,GoRide,BG 9446 CF,2021-07-28,Palembang,Active
DRV-00170,Niko Handoko,GoCar,DD 5911 HA,2019-03-25,Makassar,Inactive
DRV-00171,Usman Saputra,GoCar,B 4728 AH,2022-04-07,Jakarta,Active
DRV-00172,Pandu Gunawan,GoRide,B 8225 FG,2020-04-15,Jakarta,Active
DRV-00173,Krisna Rahayu,GoRide,B 6325 HG,2019-12-11,Jakarta,Active
DRV-00174,Ulfa Handoko,GoCar,DD 4150 DE,2020-07-10,Makassar,Inactive
DRV-00175,Agus Sugiarto,GoCar,BK 6714 EE,2022-04-05,Medan,Inactive
DRV-00176,Dian Wibowo,GoCar,,2018-11-20,Bandung,Active
DRV-00177,Tari Wahyudi,GoRide,BG 9824 EE,2020-09-07,Palembang,Active
DRV-00178,Lestari Hidayat,GoRide,BK 7771 FH,2019-07-18,Medan,Active
DRV-00179,Fitri Setiawan,GoCar,AB 4267 EF,2018-08-31,Yogyakarta,Inactive
DRV-00180,Agus Gunawan,GoRide,BK 3868 GC,2018-05-29,Medan,Inactive
DRV-00181,Surya Kurniawan,GoCar,D 1151 EB,2021-10-04,Bandung,Active
DRV-00182,Fauzi Wibowo,GoRide,BG 8668 ED,2021-09-16,Palembang,Active
DRV-00183,Irfan Rahayu,GoRide,D 5833 DC,2022-07-19,Bandung,Active
DRV-00184,Zahra Saputra,GoCar,L 4027 CH,2020-10-13,Surabaya,Active
DRV-00185,Hendra Saputro,GoCar,BG 5947 AE,2020-08-25,Palembang,Active
DRV-00186,Oki Saputra,GoRide,H 9233 EB,2021-04-23,Semarang,Active
DRV-00187,Usman Putra,GoCar,D 7121 GH,2020-06-13,Bandung,Active
DRV-00188,Krisna Suwandi,GoCar,L 6927 BB,2023-09-02,Surabaya,Active
DRV-00189,Irfan Saputro,GoCar,D 8239 BD,2023-06-26,Bandung,Active
DRV-00190,Agus Wibowo,GoCar,B 7806 HA,2021-06-16,Jakarta,Active
DRV-00191,Eko Gunawan,GoRide,B 1742 GF,2018-09-04,Jakarta,Inactive
DRV-00192,Zahra Permata,GoCar,B 3218 GF,2022-04-16,Jakarta,Active
DRV-00193,Yanti Saputra,GoRide,L 6697 BC,2022-05-29,Surabaya,Active
DRV-00194,Joko Wibowo,GoRide,B 8585 GG,2020-10-10,Jakarta,Active
DRV-00195,Eko Pratama,GoRide,,2018-03-06,Medan,Active
DRV-00196,Aditya Wijaya,GoCar,B 1797 DA,2020-08-17,Jakarta,Active
DRV-00197,Jaya Saputra,GoCar,D 6224 FD,2019-08-10,Bandung,Inactive
DRV-00198,Tari Permata,GoCar,AB 3869 GH,2021-11-11,Yogyakarta,Inactive
DRV-00199,Oki Handoko,GoCar,DD 5913 GC,2023-04-24,Makassar,Active
DRV-00200,Surya Kusuma,GoCar,D 7761 GC,2020-11-10,Bandung,Active
DRV-00201,Made Setiawan,GoCar,BG 4120 AE,2018-06-11,Palembang,Inactive
DRV-00202,Hendra Gunawan,GoCar,BK 6455 EA,2020-02-18,Medan,Inactive
DRV-00203,Ulfa Wibowo,GoRide,BK 4921 FE,2023-12-26,Medan,Active
DRV-00204,Oki Suwandi,GoCar,DD 8692 FD,2022-08-23,Makassar,Active
DRV-00205,Putri Gunawan,GoCar,B 7841 EC,2020-07-31,Jakarta,Active
DRV-00206,Yanti Kurniawan,GoCar,DD 9005 HH,2021-12-13,Makassar,Active
DRV-00207,Tari Wijaya,GoRide,BG 9882 AA,2018-11-01,Palembang,Inactive
DRV-00208,Yogi Wijaya,GoCar,B 4791 BC,,Jakarta,Active
DRV-00209,Jaya Wibowo,GoCar,,2022-08-12,Palembang,Active
DRV-00210,Made Putra,GoRide,H 8054 CB,2023-11-18,Semarang,Active
DRV-00211,Vera Saputra,GoCar,H 7502 BF,2023-02-24,Semarang,Active
DRV-00212,Andi Hidayat,GoRide,H 1519 BG,2023-05-04,Semarang,Active
DRV-00213,Eko Wibowo,GoCar,L 6427 BA,2023-05-02,Surabaya,Active
DRV-00214,Ulfa Hidayat,GoRide,B 6152 AD,2022-06-20,Jakarta,Inactive
DRV-00215,Vera Kusuma,GoCar,BK 9856 FG,2019-07-28,Medan,Active
DRV-00216,Vika Santoso,GoRide,DD 4803 BF,2022-06-13,Makassar,Inactive
DRV-00217,Pandu Handoko,GoCar,H 6829 GG,2022-04-06,Semarang,Active
DRV-00218,Fitri Santoso,GoRide,BK 3526 GC,2021-07-21,Medan,Active
DRV-00219,Lestari Wahyudi,GoCar,H 5419 BC,2022-11-01,Semarang,Active
DRV-00220,Vika Permata,GoRide,,2019-01-17,Yogyakarta,Active
DRV-00221,Ulfa Wibowo,GoCar,B 2387 DC,2019-11-26,Jakarta,Active
DRV-00222,Putri Gunawan,GoRide,BG 8121 EG,2018-11-12,Palembang,Active
DRV-00223,Wahyu Saputro,GoCar,BK 5991 AG,2022-04-06,Medan,Active
DRV-00224,Lina Permata,GoCar,DD 3230 EF,2020-04-02,Makassar,Active
DRV-00225,Mulia Nugroho,GoCar,DD 9044 DF,2022-05-29,Makassar,Active
DRV-00226,Bambang Gunawan,GoRide,D 8563 DH,2018-10-11,Bandung,Active
DRV-00227,Krisna Wahyudi,GoCar,D 3525 GG,2023-05-17,Bandung,Active
DRV-00228,Pandu Wijaya,GoRide,AB 6890 BB,2021-12-25,Yogyakarta,Active
DRV-00229,Jaya Kurniawan,GoCar,AB 8052 BA,2020-06-28,Yogyakarta,Active
DRV-00230,Bambang Kusuma,GoCar,BK 8586 CF,2023-06-01,Medan,Active
DRV-00231,Dian Saputro,GoRide,L 6620 HD,2021-11-27,Surabaya,Active
DRV-00232,Zulfa Saputra,GoRide,DD 2885 AF,2019-11-05,Makassar,Inactive
DRV-00233,Tari Halim,GoRide,D 7985 HD,2020-01-26,Bandung,Active
DRV-00234,Aditya Kusuma,GoRide,AB 4232 HG,2020-05-29,Yogyakarta,Active
DRV-00235,Ratna Rahayu,GoRide,L 4228 HB,2023-06-28,Surabaya,Active
DRV-00236,Niko Kusuma,GoCar,AB 6700 FH,2021-05-03,Yogyakarta,Inactive
DRV-00237,Bambang Putra,GoCar,D 6003 BC,2019-08-03,Bandung,Active
DRV-00238,Dian Putra,GoCar,D 8973 CC,2019-07-29,Bandung,Active
DRV-00239,Bambang Gunawan,GoCar,B 8939 CD,2023-09-02,Jakarta,Active
DRV-00240,Tono Hidayat,GoCar,AB 2354 AD,2021-01-30,Yogyakarta,Active
DRV-00241,Aditya Wijaya,GoCar,BG 2854 BE,2022-02-11,Palembang,Active
DRV-00242,Xena Kusuma,GoRide,BG 2677 DE,2018-05-13,Palembang,Active
DRV-00243,Indah Nugroho,GoRide,BG 4882 DF,2022-10-20,Palembang,Active
DRV-00244,Sari Wahyudi,GoRide,BK 9720 EC,2021-04-13,Medan,Active
DRV-00245,Indah Saputra,GoRide,L 7743 AE,2019-06-04,Surabaya,Active
DRV-00246,Zahra Saputro,GoCar,D 7434 HC,2021-01-05,Bandung,Active
DRV-00247,Yanti Kusuma,GoRide,L 5558 FH,2021-09-02,Surabaya,Active
DRV-00248,Vika Handoko,GoCar,BG 9756 GD,2020-05-17,Palembang,Active
DRV-00249,Kartika Saputro,GoRide,DD 8951 FA,2023-02-26,Makassar,Active
DRV-00250,Sari Kusuma,GoRide,BG 8009 DC,2021-05-21,Palembang,Active
DRV-00251,Fitri Pratama,GoCar,DD 3711 AG,2020-08-17,Makassar,Active
DRV-00252,Hendra Halim,GoRide,B 3174 DH,,Jakarta,Active
DRV-00253,Indah Permata,GoCar,D 7276 BB,2022-02-14,Bandung,Inactive
DRV-00254,Joko Halim,GoRide,D 1138 CH,2020-05-22,Bandung,Active
DRV-00255,Cahaya Rahayu,GoRide,BG 2646 CB,2022-04-22,Palembang,Active
DRV-00256,Tari Handoko,GoRide,D 2380 DE,2018-04-20,Bandung,Active
DRV-00257,Ratna Putra,GoRide,BK 5842 AD,2019-04-07,Medan,Active
DRV-00258,Usman Hidayat,GoRide,L 6185 CG,2022-09-20,Surabaya,Active
DRV-00259,Dewi Permata,GoRide,,2020-12-09,Palembang,Active
DRV-00260,Nanda Suwandi,GoCar,H 7590 BC,2021-06-23,Semarang,Active
DRV-00261,Fitri Halim,GoCar,DD 2083 EG,2020-09-04,Makassar,Active
DRV-00262,Kartika Gunawan,GoCar,L 1901 EC,2019-07-17,Surabaya,Active
DRV-00263,Cahaya Wibowo,GoCar,DD 3079 EB,2018-05-01,Makassar,Active
DRV-00264,Mulia Hidayat,GoCar,L 2262 HH,2018-08-16,Surabaya,Active
DRV-00265,Andi Saputra,GoRide,DD 2685 BD,2018-01-11,Makassar,Active
DRV-00266,Putri Halim,GoCar,B 3458 CA,2022-09-14,Jakarta,Active
DRV-00267,Agus Kusuma,GoCar,DD 7108 BA,2023-10-14,Makassar,Inactive
DRV-00268,Tono Setiawan,GoCar,BG 6090 FB,2018-02-02,Palembang,Active
DRV-00269,Krisna Sugiarto,GoRide,H 9083 DD,2022-08-07,Semarang,Active
DRV-00270,Jaya Saputra,GoCar,,2021-06-13,Jakarta,Active
DRV-00271,Jaya Halim,GoCar,AB 3332 EB,2020-08-06,Yogyakarta,Inactive
DRV-00272,Mulia Wijaya,GoCar,DD 2391 BC,2022-06-04,Makassar,Active
DRV-00273,Sari Saputra,GoRide,AB 5276 FG,2021-08-29,Yogyakarta,Active
DRV-00274,Hendra Kurniawan,GoRide,L 2785 CB,2023-03-24,Surabaya,Active
DRV-00275,Vera Putra,GoRide,DD 8591 EB,2021-05-31,Makassar,Active
DRV-00276,Dewi Handoko,GoRide,B 6370 CB,2021-12-28,Jakarta,Active
DRV-00277,Lestari Saputra,GoRide,,2023-01-27,Semarang,Active
DRV-00278,Agus Sugiarto,GoCar,L 3290 BA,2020-06-29,Surabaya,Active
DRV-00279,Fitri Rahayu,GoCar,L 2228 AB,2022-12-22,Surabaya,Active
DRV-00280,Zahra Halim,GoRide,L 1829 CG,2022-06-06,Surabaya,Active
DRV-00281,Pandu Putra,GoCar,D 4066 EE,2019-09-01,Bandung,Active
DRV-00282,Surya Wahyudi,GoCar,BK 8848 AB,2019-07-17,Medan,Active
DRV-00283,Sari Hidayat,GoRide,BK 6883 HH,2023-08-20,Medan,Active
DRV-00284,Niko Saputra,GoCar,B 1480 EA,2023-04-17,Jakarta,Active
DRV-00285,Zahra Sugiarto,GoRide,D 4951 EA,2020-06-17,Bandung,Active
DRV-00286,Mulia Suwandi,GoRide,D 6210 FA,2021-12-11,Bandung,Inactive
DRV-00287,Budi Wahyudi,GoCar,BK 3876 HA,2020-08-10,Medan,Active
DRV-00288,Joko Setiawan,GoRide,BG 4300 CF,2021-08-18,Palembang,Active
DRV-00289,Wahyu Handoko,GoRide,D 6978 BF,2022-06-09,Bandung,Active
DRV-00290,Niko Hidayat,GoRide,DD 8157 HF,2022-01-01,Makassar,Active
DRV-00291,Mulia Wijaya,GoCar,AB 5825 CC,2022-05-23,Yogyakarta,Inactive
DRV-00292,Vika Hidayat,GoCar,D 4619 BH,2018-11-15,Bandung,Active
DRV-00293,Galih Santoso,GoCar,L 5345 DD,2021-12-06,Surabaya,Active
DRV-00294,Zahra Pratama,GoCar,B 7875 CG,2022-04-01,Jakarta,Active
DRV-00295,Galih Kusuma,GoRide,BG 2207 AE,,Palembang,Active
DRV-00296,Cahaya Hidayat,GoRide,DD 3636 BB,2023-06-01,Makassar,Active
DRV-00297,Ulfa Saputra,GoRide,AB 6424 DD,2020-12-22,Yogyakarta,Active
DRV-00298,Tari Putra,GoRide,L 9043 CA,2022-10-18,Surabaya,Active
DRV-00299,Ulfa Permata,GoRide,BG 4390 CE,2023-04-24,Palembang,Active
DRV-00300,Dian Wijaya,GoCar,BG 5341 BG,2022-04-12,Palembang,Active
DRV-00301,Xena Kurniawan,GoCar,H 4706 EA,2019-02-01,Semarang,Active
DRV-00302,Fitri Permata,GoRide,AB 7342 GH,2020-08-23,Yogyakarta,Active
DRV-00303,Cahaya Kusuma,GoRide,B 8357 CC,2020-02-29,Jakarta,Active
DRV-00304,Lestari Permata,GoRide,AB 3422 EF,2018-10-02,Yogyakarta,Active
DRV-00305,Niko Pratama,GoCar,DD 1202 GB,2019-08-31,Makassar,Active
DRV-00306,Gunawan Wijaya,GoRide,L 9775 FG,2023-06-12,Surabaya,Active
DRV-00307,Dewi Gunawan,GoCar,D 7581 AG,2021-09-19,Bandung,Active
DRV-00308,Hadi Pratama,GoCar,,2021-05-26,Semarang,Active
DRV-00309,Nanda Halim,GoRide,BK 8259 FE,2019-01-01,Medan,Active
