user_id,user_name,registration_date,user_segment
USR-00095,Ratna Kusuma,2022-05-25,Regular
USR-00096,Fauzi Handoko,2022-10-24,Regular
USR-00097,Zahra Nugroho,2020-12-24,Regular
USR-00098,Ratna Sugiarto,2023-05-17,VIP
USR-00099,Indah Wijaya,2023-11-29,Regular
USR-00100,Eko Kurniawan,2021-09-03,Regular
USR-00101,Dian Santoso,2024-08-08,Regular
USR-00102,Yanti Wijaya,2019-08-18,Regular
USR-00103,Tari Wahyudi,2021-05-17,VIP
USR-00104,Oki Kusuma,2020-09-02,Regular
USR-00105,Budi Gunawan,2020-08-02,Regular
USR-00106,Surya Suwandi,2019-07-07,Regular
USR-00107,Ulfa Pratama,,Regular
USR-00108,Eko Pratama,2020-11-30,VIP
USR-00109,Made Halim,2021-06-22,Regular
USR-00110,Usman Setiawan,2023-07-05,Regular
USR-00111,Nanda Wijaya,2022-08-10,VIP
USR-00112,Sari Suwandi,2022-10-06,Regular
USR-00113,Lestari Hidayat,2020-11-19,Regular
USR-00114,Ratna Putra,2019-06-16,Regular
USR-00115,Hadi Kusuma,2020-10-08,Regular
USR-00116,Fitri Setiawan,,Regular
USR-00117,Gunawan Suwandi,2023-09-01,Regular
USR-00118,Bambang Saputra,2022-01-14,Regular
USR-00119,Wendi Gunawan,2019-06-04,Regular
USR-00120,Ulfa Sugiarto,2019-12-27,Regular
USR-00121,Jaya Pratama,2021-08-23,Regular
USR-00122,Ratna Nugroho,2024-09-09,Regular
USR-00123,Joko Gunawan,2021-03-04,Regular
USR-00124,Citra Wijaya,2020-10-16,Regular
USR-00125,Reza Rahayu,2022-03-13,Regular
USR-00126,Zulfa Wijaya,2024-01-31,Regular
USR-00127,Budi Gunawan,2020-12-21,Regular
USR-00128,Yanti Saputro,2019-10-18,VIP
USR-00129,Zulfa Rahayu,2022-08-28,Regular
USR-00130,Galih Saputra,2020-03-27,Regular
USR-00131,Oki Kusuma,2021-03-30,Regular
USR-00132,Cahaya Suwandi,2024-06-07,Regular
USR-00133,Yogi Suwandi,2024-02-07,Regular
USR-00134,Sari Nugroho,2021-03-06,Regular
USR-00135,Dewi Wibowo,2019-05-12,Regular
USR-00136,Kartika Rahayu,2024-03-21,Regular
USR-00137,Ratna Putra,2022-04-23,Regular
USR-00138,Jaya Gunawan,2021-07-29,Regular
USR-00139,Fauzi Wibowo,2021-06-05,Regular
USR-00140,Putri Saputra,,Regular
USR-00141,Niko Suwandi,2021-06-29,VIP
USR-00142,Citra Wijaya,2019-01-21,Regular
USR-00143,Jaya Permata,2024-08-27,Regular
USR-00144,Putri Kusuma,2020-02-06,Regular
USR-00145,Bambang Nugroho,2019-02-20,Regular
USR-00146,Fitri Santoso,2022-04-26,Regular
USR-00147,Fauzi Setiawan,2022-06-02,Regular
USR-00148,Fauzi Suwandi,2019-04-10,VIP
USR-00149,Yogi Saputro,2023-07-19,Regular
USR-00150,Eko Permata,2019-01-06,VIP
USR-00151,Tono Halim,2022-09-25,Regular
USR-00152,Fitri Putra,2021-04-28,Regular
USR-00153,Usman Sugiarto,2019-08-13,Regular
USR-00154,Fauzi Putra,2020-03-30,Regular
USR-00155,Lestari Kusuma,2023-02-09,Regular
USR-00156,Wahyu Saputra,2021-04-18,Regular
USR-00157,Aditya Setiawan,2024-05-13,Regular
USR-00158,Aditya Saputra,2021-05-09,Regular
USR-00159,Cahaya Wibowo,2021-12-31,Regular
USR-00160,Hadi Wahyudi,2023-03-08,Regular
USR-00161,Krisna Kurniawan,2020-05-17,Regular
USR-00162,Usman Kusuma,2024-01-26,Regular
USR-00163,Agus Hidayat,2024-02-19,Regular
USR-00164,Sari Pratama,2019-11-12,Regular
USR-00165,Nanda Wahyudi,2024-07-25,Regular
USR-00166,Usman Kurniawan,2019-04-03,Regular
USR-00167,Dian Santoso,2024-04-25,Regular
USR-00168,Oki Wahyudi,2019-09-15,Regular
USR-00169,Surya Rahayu,2023-08-14,Regular
USR-00170,Dian Saputro,2024-12-11,VIP
USR-00171,Ulfa Hidayat,2020-06-24,VIP
USR-00172,Tono Wijaya,2021-07-17,Regular
USR-00173,Kartika Putra,2022-03-10,Regular
USR-00174,Lina Suwandi,2022-03-14,Regular
USR-00175,Vika Setiawan,2020-04-23,Regular
USR-00176,Nanda Kurniawan,2021-12-02,Regular
USR-00177,Joko Sugiarto,2022-07-22,VIP
USR-00178,Hendra Santoso,2020-10-27,Regular
USR-00179,Fauzi Rahayu,2024-08-07,Regular
USR-00180,Wendi Handoko,2024-09-09,Regular
USR-00181,Aditya Setiawan,2022-04-02,VIP
USR-00182,Hendra Gunawan,2023-12-16,Regular
USR-00183,Hendra Handoko,2020-07-25,Regular
USR-00184,Fitri Rahayu,2021-06-21,Regular
USR-00185,Oki Wibowo,2021-03-10,Regular
USR-00186,Dian Kusuma,2019-12-09,Regular
USR-00187,Vika Putra,2023-06-04,Regular
USR-00188,Yogi Permata,2019-08-18,VIP
USR-00189,Yogi Santoso,2023-10-18,Regular
USR-00190,Dian Kurniawan,2022-12-10,Regular
USR-00191,Bambang Saputro,2023-12-25,Regular
USR-00192,Bambang Suwandi,2023-10-03,Regular
USR-00193,Ulfa Gunawan,2019-12-19,Regular
USR-00194,Eko Setiawan,2024-11-21,VIP
USR-00195,Ratna Wibowo,2019-12-29,Regular
USR-00196,Aditya Suwandi,2024-03-07,Regular
USR-00197,Hadi Wijaya,2023-04-13,Regular
USR-00198,Ulfa Gunawan,2022-05-21,VIP
USR-00199,Andi Suwandi,2024-03-13,Regular
USR-00200,Tari Handoko,2024-04-19,Regular
USR-00201,Surya Saputra,2024-07-07,VIP
USR-00202,Eko Putra,2022-02-09,Regular
USR-00203,Reza Gunawan,2024-05-22,Regular
USR-00204,Yanti Setiawan,2020-05-04,Regular
USR-00205,Niko Wijaya,,Regular
USR-00206,Indah Sugiarto,2024-03-03,VIP
USR-00207,Ratna Sugiarto,2022-01-21,Regular
USR-00208,Eko Wahyudi,2022-04-09,Regular
USR-00209,Oscar Hidayat,2021-01-20,Regular
USR-00210,Usman Handoko,2022-07-19,VIP
USR-00211,Niko Sugiarto,2023-01-24,Regular
USR-00212,Tono Sugiarto,2019-02-22,Regular
USR-00213,Kartika Pratama,2023-08-15,Regular
USR-00214,Made Kurniawan,2024-08-23,Regular
USR-00215,Wendi Kurniawan,2024-11-23,VIP
USR-00216,Eko Pratama,2020-04-11,Regular
USR-00217,Ulfa Sugiarto,2019-03-13,Regular
USR-00218,Oscar Wahyudi,2023-12-16,VIP
USR-00219,Ulfa Santoso,2022-11-02,Regular
USR-00220,Vera Suwandi,2020-04-30,Regular
USR-00221,Indah Kusuma,2022-06-13,Regular
USR-00222,Gunawan Halim,2020-04-02,Regular
USR-00223,Tari Wahyudi,2020-03-17,Regular
USR-00224,Reza Wijaya,2024-04-05,Regular
USR-00225,Hendra Putra,2019-02-12,Regular
USR-00226,Xena Santoso,2021-03-30,Regular
USR-00227,Xena Sugiarto,2022-02-10,VIP
USR-00228,Pandu Saputra,2024-08-12,Regular
USR-00229,Niko Santoso,2019-10-07,Regular
USR-00230,Kartika Kurniawan,2021-02-23,VIP
USR-00231,Nanda Wahyudi,,Regular
USR-00232,Niko Hidayat,2024-04-28,Regular
USR-00233,Xena Permata,2020-03-15,Regular
USR-00234,Hendra Rahayu,2024-10-07,Regular
USR-00235,Hadi Sugiarto,2020-03-27,Regular
USR-00236,Hadi Pratama,2019-06-16,Regular
USR-00237,Ulfa Saputro,2024-02-15,Regular
USR-00238,Cahaya Nugroho,2023-07-27,Regular
USR-00239,Yogi Hidayat,2024-05-02,VIP
USR-00240,Usman Pratama,,Regular
USR-00241,Fitri Pratama,2024-11-10,Regular
USR-00242,Galih Hidayat,2023-06-29,Regular
USR-00243,Oscar Permata,2021-03-26,Regular
USR-00244,Sari Setiawan,2023-10-06,Regular
USR-00245,Tari Putra,2023-06-28,Regular
USR-00246,Joko Saputro,2024-06-07,Regular
USR-00247,Oki Suwandi,2021-10-23,Regular
USR-00248,Hadi Santoso,2019-08-05,VIP
USR-00249,Vika Suwandi,2023-04-17,Regular
USR-00250,Tari Wahyudi,2020-01-30,Regular
USR-00251,Tari Gunawan,2024-03-23,Regular
USR-00252,Krisna Kurniawan,2021-12-07,Regular
USR-00253,Cahaya Pratama,,Regular
USR-00254,Dian Saputro,2022-07-12,VIP
USR-00255,Ulfa Hidayat,2020-12-25,Regular
USR-00256,Zahra Gunawan,2020-07-04,Regular
USR-00257,Usman Kurniawan,2024-07-02,Regular
USR-00258,Kartika Wahyudi,2024-05-03,Regular
USR-00259,Zahra Putra,2021-12-14,Regular
USR-00260,Budi Setiawan,2022-03-11,Regular
USR-00261,Zulfa Setiawan,2023-02-09,Regular
USR-00262,Cahaya Sugiarto,2022-10-29,Regular
USR-00263,Tari Saputra,2023-08-15,Regular
USR-00264,Vera Kusuma,2022-07-02,Regular
USR-00265,Budi Kurniawan,2020-04-13,Regular
USR-00266,Cahaya Setiawan,2024-03-02,Regular
USR-00267,Vera Gunawan,2023-09-22,Regular
USR-00268,Zahra Rahayu,2022-07-20,Regular
USR-00269,Usman Nugroho,2024-06-23,Regular
USR-00270,Tari Rahayu,2024-08-21,VIP
USR-00271,Cahaya Nugroho,2022-05-11,Regular
USR-00272,Krisna Nugroho,2019-11-05,VIP
USR-00273,Mulia Permata,2019-07-14,Regular
USR-00274,Niko Pratama,2020-01-12,Regular
USR-00275,Jaya Gunawan,2022-01-24,Regular
USR-00276,Surya Handoko,2022-11-23,Regular
USR-00277,Krisna Rahayu,2022-05-13,Regular
USR-00278,Irfan Saputro,2023-07-06,Regular
USR-00279,Ratna Wahyudi,2021-01-09,VIP
USR-00280,Zulfa Saputro,2024-08-06,Regular
USR-00281,Cahaya Setiawan,2024-12-22,VIP
USR-00282,Yogi Saputro,2019-09-03,Regular
USR-00283,Aditya Handoko,2020-09-08,Regular
USR-00284,Eko Nugroho,2023-08-08,Regular
USR-00285,Surya Hidayat,2021-12-29,VIP
USR-00286,Hendra Suwandi,2021-08-25,Regular
USR-00287,Ulfa Saputro,2021-10-02,Regular
USR-00288,Citra Nugroho,2023-11-22,Regular
USR-00289,Sari Kurniawan,2020-07-12,Regular
USR-00290,Hadi Santoso,2019-06-22,VIP
USR-00291,Ulfa Kusuma,2019-12-10,Regular
USR-00292,Tari Kusuma,2023-07-26,VIP
USR-00293,Mulia Wahyudi,2020-07-29,Regular
USR-00294,Niko Wahyudi,2024-11-07,Regular
USR-00295,Hendra Rahayu,2020-01-05,Regular
USR-00296,Zulfa Saputra,2023-05-17,VIP
USR-00297,Lina Nugroho,2021-06-11,Regular
USR-00298,Niko Wijaya,2023-12-06,Regular
USR-00299,Hendra Rahayu,2023-03-15,Regular
USR-00300,Sari Suwandi,2024-04-29,Regular
USR-00301,Budi Putra,2023-02-15,VIP
USR-00302,Tari Saputra,2019-08-12,Regular
USR-00303,Vera Sugiarto,2023-04-25,Regular
USR-00304,Putri Saputro,2020-05-14,Regular
USR-00305,Reza Handoko,2023-05-29,VIP
USR-00306,Kartika Saputro,2021-08-22,Regular
USR-00307,Sari Kusuma,2023-07-23,Regular
USR-00308,Bambang Rahayu,2024-07-06,Regular
USR-00309,Vera Wibowo,2020-02-16,VIP
USR-00310,Yanti Kurniawan,2022-12-12,Regular
USR-00311,Aditya Wijaya,2024-01-31,Regular
USR-00312,Surya Suwandi,2021-01-22,Regular
USR-00313,Ulfa Rahayu,,Regular
USR-00314,Jaya Suwandi,2020-03-29,Regular
USR-00315,Vika Saputro,2023-08-08,Regular
USR-00316,Usman Setiawan,2020-06-30,Regular
USR-00317,Bambang Sugiarto,2022-02-28,Regular
USR-00318,Mulia Saputra,2023-03-26,VIP
USR-00319,Surya Putra,2019-04-05,VIP
USR-00320,Made Wibowo,2019-12-31,VIP
USR-00321,Pandu Halim,2020-11-22,Regular
USR-00322,Yogi Hidayat,2020-09-03,Regular
USR-00323,Jaya Halim,2020-04-25,Regular
USR-00324,Hadi Pratama,2024-02-02,VIP
USR-00325,Sari Handoko,2021-04-12,Regular
USR-00326,Nanda Putra,2023-04-14,Regular
USR-00327,Made Halim,2022-03-05,Regular
USR-00328,Reza Saputra,2020-08-20,Regular
USR-00329,Usman Saputro,2021-10-14,Regular
USR-00330,Vika Permata,2024-04-04,Regular
USR-00331,Zulfa Putra,2023-04-20,Regular
USR-00332,Dewi Rahayu,2020-01-26,Regular
USR-00333,Oscar Putra,2024-04-12,VIP
USR-00334,Irfan Putra,2019-07-06,Regular
USR-00335,Indah Kurniawan,2023-06-05,Regular
USR-00336,Irfan Gunawan,2021-01-04,Regular
USR-00337,Vika Wahyudi,2024-04-01,Regular
USR-00338,Citra Suwandi,2021-12-02,Regular
USR-00339,Cahaya Handoko,2022-02-24,Regular
USR-00340,Aditya Wibowo,2021-12-14,Regular
USR-00341,Vika Gunawan,2023-11-20,VIP
USR-00342,Tari Saputro,2020-09-11,Regular
USR-00343,Lina Wijaya,2020-08-31,Regular
USR-00344,Cahaya Pratama,2020-10-31,Regular
USR-00345,Xena Kurniawan,2024-07-20,Regular
USR-00346,Yanti Suwandi,2024-07-12,Regular
USR-00347,Tono Hidayat,2020-01-19,Regular
USR-00348,Mulia Setiawan,2024-09-14,VIP
USR-00349,Mulia Hidayat,2019-01-17,Regular
USR-00350,Hadi Pratama,2019-11-11,Regular
USR-00351,Usman Pratama,2019-04-17,Regular
USR-00352,Joko Santoso,2020-03-10,VIP
USR-00353,Sari Putra,2024-05-19,Regular
USR-00354,Surya Putra,2022-09-11,VIP
USR-00355,Yanti Setiawan,2022-08-23,VIP
USR-00356,Tono Rahayu,2019-07-19,VIP
USR-00357,Oscar Permata,2019-10-17,Regular
USR-00358,Agus Kusuma,2021-11-11,Regular
USR-00359,Agus Handoko,2021-05-02,Regular
USR-00360,Hadi Halim,2020-09-23,Regular
USR-00361,Oscar Suwandi,2022-06-24,VIP
USR-00362,Irfan Nugroho,2020-01-29,VIP
USR-00363,Mulia Putra,2023-05-09,Regular
USR-00364,Pandu Hidayat,2023-09-27,VIP
USR-00365,Irfan Rahayu,2023-10-11,Regular
USR-00366,Wendi Suwandi,2021-07-07,Regular
USR-00367,Jaya Kusuma,2024-11-29,Regular
USR-00368,Gunawan Handoko,2023-11-27,Regular
USR-00369,Ulfa Saputra,2020-06-07,Regular
USR-00370,Lestari Kusuma,2022-04-25,Regular
USR-00371,Cahaya Halim,2024-10-03,Regular
USR-00372,Niko Kusuma,2021-11-03,Regular
USR-00373,Tari Saputro,2019-03-08,Regular
USR-00374,Citra Kusuma,2021-01-16,VIP
USR-00375,Yanti Saputro,2022-05-04,Regular
USR-00376,Reza Rahayu,2024-01-17,Regular
USR-00377,Fitri Putra,2021-02-05,Regular
USR-00378,Budi Santoso,2020-03-11,Regular
USR-00379,Gunawan Saputro,2019-02-24,Regular
USR-00380,Pandu Sugiarto,2024-06-16,Regular
USR-00381,Fitri Suwandi,2023-06-06,VIP
USR-00382,Budi Nugroho,2021-02-20,Regular
USR-00383,Joko Saputra,2021-05-07,Regular
USR-00384,Fauzi Suwandi,2021-02-20,Regular
USR-00385,Joko Saputro,2019-03-31,Regular
USR-00386,Dian Setiawan,2024-04-15,Regular
USR-00387,Agus Wijaya,2022-04-22,Regular
USR-00388,Wendi Halim,2020-02-25,Regular
USR-00389,Oscar Kurniawan,2024-07-23,Regular
USR-00390,Hadi Wahyudi,2019-06-01,Regular
USR-00391,Dewi Wahyudi,2024-06-21,Regular
USR-00392,Lestari Kusuma,,Regular
USR-00393,Hendra Gunawan,2023-09-05,VIP
USR-00394,Cahaya Santoso,2022-11-21,Regular
USR-00395,Dian Saputra,2021-02-26,Regular
USR-00396,Wendi Saputro,2022-10-21,VIP
USR-00397,Zahra Halim,2022-04-16,Regular
USR-00398,Kartika Putra,2023-01-15,Regular
USR-00399,Indah Hidayat,2019-12-20,Regular
USR-00400,Bambang Gunawan,2024-07-08,Regular
USR-00401,Budi Sugiarto,2021-05-07,Regular
USR-00402,Lina Wahyudi,2023-01-02,Regular
USR-00403,Hendra Putra,2019-09-18,Regular
USR-00404,Wahyu Sugiarto,2021-07-06,Regular
USR-00405,Vera Wahyudi,2021-12-31,VIP
USR-00406,Dian Saputro,2020-03-02,Regular
USR-00407,Pandu Putra,2020-03-30,VIP
USR-00408,Citra Wahyudi,2020-02-22,VIP
USR-00409,Yogi Hidayat,2020-04-28,VIP
USR-00410,Hadi Pratama,2023-12-14,Regular
USR-00411,Indah Pratama,2023-01-29,Regular
USR-00412,Andi Saputra,2023-12-04,VIP
USR-00413,Irfan Hidayat,2024-04-24,Regular
USR-00414,Bambang Sugiarto,2023-03-06,Regular
USR-00415,Aditya Wahyudi,2021-10-02,Regular
USR-00416,Cahaya Halim,2021-07-23,Regular
USR-00417,Jaya Sugiarto,2024-02-23,VIP
USR-00418,Andi Wahyudi,2023-12-18,Regular
USR-00419,Agus Hidayat,2019-12-14,Regular
USR-00420,Tari Suwandi,2023-05-30,Regular
USR-00421,Wendi Wahyudi,2019-08-25,VIP
USR-00422,Usman Kurniawan,2023-09-14,Regular
USR-00423,Andi Wibowo,2022-07-08,VIP
USR-00424,Dian Nugroho,2020-08-24,Regular
USR-00425,Surya Permata,2023-12-17,Regular
USR-00426,Krisna Rahayu,2022-05-20,Regular
USR-00427,Krisna Handoko,2020-05-31,Regular
USR-00428,Jaya Rahayu,2024-09-26,Regular
USR-00429,Krisna Setiawan,2020-10-17,Regular
USR-00430,Irfan Pratama,2022-05-29,Regular
USR-00431,Irfan Sugiarto,2023-03-08,Regular
USR-00432,Mulia Santoso,2020-05-25,Regular
USR-00433,Niko Setiawan,2021-08-25,VIP
USR-00434,Oki Sugiarto,2024-12-24,VIP
USR-00435,Jaya Saputra,2020-07-27,Regular
USR-00436,Yogi Saputro,2024-10-16,Regular
USR-00437,Fitri Kusuma,2023-10-10,VIP
USR-00438,Dian Kusuma,2020-06-16,Regular
USR-00439,Lestari Wahyudi,2024-11-25,Regular
USR-00440,Ratna Halim,2021-12-16,Regular
USR-00441,Bambang Hidayat,2024-06-28,Regular
USR-00442,Fauzi Suwandi,2020-06-04,Regular
USR-00443,Hendra Nugroho,2024-10-03,VIP
USR-00444,Lestari Sugiarto,2019-05-14,Regular
USR-00445,Bambang Pratama,2020-05-01,Regular
USR-00446,Joko Pratama,2022-04-01,Regular
USR-00447,Hadi Santoso,2023-03-14,Regular
USR-00448,Bambang Wijaya,2020-08-05,Regular
USR-00449,Nanda Hidayat,2022-06-03,VIP
USR-00450,Lestari Sugiarto,2024-06-25,Regular
USR-00451,Mulia Handoko,2019-07-03,Regular
USR-00452,Gunawan Putra,2022-10-15,Regular
USR-00453,Fauzi Saputro,2020-07-21,Regular
USR-00454,Vika Kusuma,2020-09-02,VIP
USR-00455,Agus Rahayu,2023-08-05,Regular
USR-00456,Surya Kusuma,2023-12-20,Regular
USR-00457,Wendi Handoko,2019-04-12,Regular
USR-00458,Fitri Nugroho,2020-05-22,Regular
USR-00459,Jaya Nugroho,2019-08-05,VIP
USR-00460,Hendra Kurniawan,2024-08-20,VIP
USR-00461,Nanda Saputra,2019-03-19,Regular
USR-00462,Krisna Putra,2023-12-25,Regular
USR-00463,Budi Rahayu,2019-07-04,Regular
USR-00464,Jaya Rahayu,2023-08-27,Regular
USR-00465,Galih Kurniawan,2020-01-08,Regular
USR-00466,Fitri Suwandi,2020-08-12,Regular
USR-00467,Dewi Putra,2023-07-27,Regular
USR-00468,Dewi Handoko,2021-01-13,Regular
USR-00469,Vika Wibowo,2022-08-03,Regular
USR-00470,Putri Putra,2020-05-10,Regular
USR-00471,Irfan Permata,2024-07-12,Regular
USR-00472,Fauzi Kurniawan,2022-01-08,Regular
USR-00473,Ratna Saputra,2024-06-06,Regular
USR-00474,Niko Pratama,2019-03-18,Regular
USR-00475,Bambang Saputro,2020-05-29,Regular
USR-00476,Joko Sugiarto,2024-08-11,Regular
USR-00477,Krisna Halim,2020-11-19,Regular
USR-00478,Fauzi Putra,2024-01-25,Regular
USR-00479,Gunawan Wibowo,2020-11-16,Regular
USR-00480,Ratna Nugroho,2023-04-07,VIP
USR-00481,Kartika Kurniawan,2024-09-21,Regular
USR-00482,Vera Pratama,2022-05-16,Regular
USR-00483,Nanda Putra,2022-02-18,VIP
USR-00484,Wahyu Wibowo,2022-07-27,VIP
USR-00485,Tari Rahayu,2024-01-29,Regular
USR-00486,Wahyu Santoso,2024-02-27,VIP
USR-00487,Andi Putra,2020-07-01,Regular
USR-00488,Bambang Kurniawan,2019-02-09,Regular
USR-00489,Krisna Kusuma,2024-06-25,Regular
USR-00490,Tari Saputro,2019-11-14,Regular
USR-00491,Zahra Putra,2022-12-16,VIP
USR-00492,Vera Santoso,2020-12-26,VIP
USR-00493,Dian Santoso,2023-02-26,VIP
USR-00494,Usman Sugiarto,2019-03-23,Regular
USR-00495,Oki Saputra,2022-05-26,VIP
USR-00496,Hadi Putra,2023-01-26,Regular
USR-00497,Ratna Permata,2021-03-14,VIP
USR-00498,Hadi Hidayat,2022-02-10,Regular
USR-00499,Indah Kusuma,2020-12-19,Regular
USR-00500,Yanti Wibowo,2021-07-22,VIP
USR-00501,Vera Kurniawan,2019-04-05,VIP
USR-00502,Cahaya Wijaya,2024-02-03,Regular
USR-00503,Bambang Wibowo,2022-08-16,Regular
USR-00504,Yogi Wahyudi,2024-10-23,Regular
USR-00505,Bambang Kurniawan,2021-07-08,Regular
USR-00506,Wahyu Kusuma,2019-01-22,Regular
USR-00507,Oki Halim,2019-04-14,VIP
USR-00508,Wahyu Handoko,2021-10-20,Regular
USR-00509,Cahaya Santoso,2020-02-01,Regular
USR-00510,Putri Pratama,2022-10-01,VIP
USR-00511,Wahyu Wahyudi,2022-10-27,VIP
USR-00512,Pandu Saputro,2019-10-26,Regular
USR-00513,Fitri Wijaya,2024-01-03,Regular
USR-00514,Vera Kusuma,2023-03-26,Regular
USR-00515,Dian Wijaya,2019-09-11,VIP
USR-00516,Usman Wijaya,2023-11-04,Regular
USR-00517,Agus Pratama,2022-04-22,VIP
USR-00518,Oscar Putra,2023-08-11,Regular
USR-00519,Cahaya Putra,,Regular
USR-00520,Usman Santoso,2022-10-23,Regular
USR-00521,Galih Pratama,2022-09-06,Regular
USR-00522,Niko Nugroho,,Regular
USR-00523,Reza Sugiarto,2020-05-31,Regular
USR-00524,Indah Wijaya,2023-12-27,Regular
USR-00525,Irfan Sugiarto,2022-06-30,Regular
USR-00526,Ulfa Putra,2020-08-19,Regular
USR-00527,Jaya Setiawan,2023-02-19,VIP
USR-00528,Irfan Kurniawan,2020-08-15,Regular
USR-00529,Made Nugroho,2023-09-25,Regular
USR-00530,Gunawan Saputro,2022-10-30,Regular
USR-00531,Mulia Rahayu,2022-09-18,VIP
USR-00532,Galih Saputro,2023-09-11,Regular
USR-00533,Andi Saputra,2019-06-22,Regular
